license,startup,phd_age,researcher_interaction,firm_cash,firm_in-kind,firm_interaction,number_of_firms,research_capacity,university_faculty,university_operations,reputation_ranking,faculty_awards,research_ranking,invention_disclosures,tto_experience,tto_staff,funding,length,distance,commercialization,staff,mid-level,full_professor,distinguished,male,female,micro,small,medium,large,university,creator,cit,mm,eet,photonics,earliest,mid-stage,latest,new_school,rising_star,laggard,old_school,firm_total,proj_funding,monthly,lt15,gte15,inventions_staff,research_faculty,in-kind_ratio
0,1,,1,9840,90529,2,1,231197000,552,11621,16,7.9,14,50,16,5.7,48518,6,785,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,100369,148887,49629,1,0,8.771929825,418835.1449,1.865884826
0,1,16,1,44727,120848,2,1,58692000,1057,8915,15,8.8,11,10,12,0.2,65157,17,651,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,165575,230732,23073.2,0,1,50,55526.9631,1.854720138
0,1,2,1,26935,114409,1,2,220939000,1178,11504,13,9.9,18,47,10,11.7,59534,6,322,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,141344,200878,11816.35294,1,0,4.017094017,187554.3294,1.921742198
0,1,13,2,11404,115085,1,2,423384000,1778,13152,10,6.6,15,63,21,7.6,66453,19,766,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,126489,192942,19294.2,1,0,8.289473684,238123.7345,1.731825501
0,1,16,1,4007,111356,3,1,21417000,1034,9440,8,3.6,13,0,28,15,51374,2,704,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,115363,166737,33347.4,0,1,0,20712.76596,2.167555573
0,1,3,9,56415,88151,2,2,423384000,1778,13152,10,6.6,15,63,21,7.6,65747,5,667,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,144566,210313,16177.92308,1,0,8.289473684,238123.7345,1.340760795
0,1,,1,27534,42358,4,3,141384000,908,11225,14,2.8,8,63,23,8.8,65364,16,749,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,69892,135256,8453.5,1,0,7.159090909,155709.2511,0.648032556
0,1,23,1,42151,0,1,2,141384000,908,11225,14,2.8,8,63,23,8.8,41566,4,1166,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,42151,83717,2092.925,0,1,7.159090909,155709.2511,0
0,1,9,3,95643,8879,4,3,141384000,908,11225,14,2.8,8,63,23,8.8,56764,4,1118,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,104522,161286,6451.44,1,0,7.159090909,155709.2511,0.156419562
0,1,12,0,15941,36785,1,2,52352000,931,8847,12,7.2,16,57,25,5.6,56764,4,472,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,52726,109490,4379.6,1,0,10.17857143,56232.00859,0.648033965
0,1,23,1,19786,24089,1,2,21417000,1034,9440,8,3.6,13,0,28,15,63411,19,76,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,43875,107286,8940.5,0,1,0,20712.76596,0.37988677
0,1,31,2,3956,0,1,2,141384000,908,11225,14,2.8,8,63,23,8.8,63390,11,111,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,3956,67346,3961.529412,0,1,7.159090909,155709.2511,0
0,1,,2,51956,34208,1,2,231197000,552,11621,16,7.9,14,50,16,5.7,53713,11,188,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,86164,139877,6081.608696,1,0,8.771929825,418835.1449,0.636866308
0,1,24,2,19325,68136,3,2,80498000,1573,10555,11,3,1,110,18,4.4,47643,12,1287,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,87461,135104,45034.66667,0,1,25,51174.82517,1.430136641
0,1,14,1,56189,868644,2,3,80498000,1573,10555,11,3,1,110,18,4.4,55409,20,557,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,924833,980242,35008.64286,1,0,25,51174.82517,15.67694779
0,1,19,1,11569,40835,3,3,58692000,1057,8915,15,8.8,11,10,12,0.2,52968,7,2097,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,52404,105372,4581.391304,0,1,50,55526.9631,0.77093717
1,0,1,0,7606,25874,0,2,384682000,988,10059,6,7,3,101,25,2.1,60940,7,49,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,33480,94420,11802.5,1,0,48.0952381,389354.251,0.424581556
1,0,20,3,34716,27175,1,3,231197000,552,11621,16,7.9,14,50,16,5.7,51750,2,110,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,61891,113641,3918.655172,0,1,8.771929825,418835.1449,0.525120773
1,0,7,1,66085,37862,0,3,231197000,552,11621,16,7.9,14,50,16,5.7,65168,22,582,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,103947,169115,11274.33333,1,0,8.771929825,418835.1449,0.58099067
1,0,,2,35945,27172,1,2,231197000,552,11621,16,7.9,14,50,16,5.7,63999,15,249,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,63117,127116,9079.714286,1,0,8.771929825,418835.1449,0.424569134
1,0,,1,24796,32345,2,2,19752000,1116,8483,2,7.9,12,96,22,1.8,56764,11,596,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,57141,113905,4556.2,1,0,53.33333333,17698.92473,0.569815376
1,0,13,1,11849,28286,11,1,53925000,1854,9011,17,5,7,36,25,12.9,63290,14,833,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,40135,103425,6464.0625,1,0,2.790697674,29085.76052,0.446926845
1,0,,3,16105,28834,0,2,21417000,1034,9440,8,3.6,13,0,28,15,57349,19,254,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,44939,102288,3934.153846,1,0,0,20712.76596,0.502781217
1,0,11,3,66209,55106,0,2,378428000,1772,9102,18,2.9,5,127,7,2.7,57349,3,861,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,121315,178664,6871.692308,1,0,47.03703704,213559.8194,0.960888594
1,0,,0,9302,29977,3,2,225719000,1550,10654,4,4.3,10,59,16,9.2,33123,26,487,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,39279,72402,36201,1,0,6.413043478,145625.1613,0.905020681
1,0,21,0,61827,55167,3,1,378428000,1772,9102,18,2.9,5,127,7,2.7,64967,10,192,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,116994,181961,15163.41667,0,1,47.03703704,213559.8194,0.849154186
1,0,23,2,14398,83283,2,2,80498000,1573,10555,11,3,1,110,18,4.4,70990,25,705,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,97681,168671,16867.1,0,1,25,51174.82517,1.173165235
1,0,10,1,10105,37150,1,1,231197000,552,11621,16,7.9,14,50,16,5.7,43182,2,157,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,47255,90437,2379.921053,1,0,8.771929825,418835.1449,0.860312167
1,0,28,2,14169,57080,2,1,220939000,1178,11504,13,9.9,18,47,10,11.7,56764,13,184,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,71249,128013,5120.52,0,1,4.017094017,187554.3294,1.005566909
1,0,31,2,3344,11974,4,1,154062000,1598,11470,3,4.2,6,113,22,3.3,11908,5,97,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,15318,27226,523.5769231,0,1,34.24242424,96409.26158,1.005542492
1,0,15,1,15563,67530,3,1,231197000,552,11621,16,7.9,14,50,16,5.7,58680,25,594,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,83093,141773,5250.851852,0,1,8.771929825,418835.1449,1.150817996
1,0,,2,40086,61833,4,3,378428000,1772,9102,18,2.9,5,127,7,2.7,65883,13,283,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,101919,167802,10487.625,1,0,47.03703704,213559.8194,0.93852739
1,0,11,2,33305,59991,1,2,231197000,552,11621,16,7.9,14,50,16,5.7,64690,6,99,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,93296,157986,8315.052632,1,0,8.771929825,418835.1449,0.927361261
1,0,,0,17157,65051,2,2,423384000,1778,13152,10,6.6,15,63,21,7.6,64690,25,667,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,82208,146898,7731.473684,1,0,8.289473684,238123.7345,1.005580461
